0,1,2,3,4,5,6,7,8,9,10,11,median,std_deviation,target
2.57580781,1.886727929,1.702103853,1.654261351,1.64710784,1.858199716,2.033879995,1.284885764,1.419561625,1.254243851,1.752649546,1.811955333,1.727376699,0.340234302,2.4
0.883208036,0.697696924,0.743969142,0.668671131,0.746488512,0.869163632,0.746837616,0.870732427,1.008359909,0.810042858,0.732313871,0.6875512,0.746663064,0.097515302,4.55
0.64006114,0.494180799,0.577143192,0.562494934,0.43977201,0.714748561,0.504580438,0.458018214,0.572744489,0.375555813,0.832868934,0.035078809,0.533537686,0.188288788,4.55
2.412892342,2.831991196,2.665626526,2.269805908,2.362666845,2.824084282,2.51066947,2.204786062,2.930397749,2.121660233,2.890515566,2.758821726,2.588147998,0.274852678,0.7
2.994943857,2.324923992,2.650702953,2.817531109,2.159281254,2.738797426,2.58090806,1.999821186,1.97220993,2.137826204,2.682936907,2.647176981,2.614042521,0.329696813,3.7
1.59472394,1.60719347,1.25414443,2.595024824,1.827629089,1.519269586,1.704004049,1.552719116,1.4337008,1.924818754,1.37738049,0.91663897,1.573721528,0.390624012,-0.19
0.224287972,0.722819448,0.597874999,0.441336215,0.620592415,0.440798163,0.413937211,0.671770513,0.459520429,0.52513212,0.582180202,0.311927795,0.492326275,0.14085991,-0.81
0.347518533,0.082169682,0.038569212,-0.18222408,0.058349043,0.010286957,-0.043247998,0.212793365,-0.042416185,0.078213036,0.018427461,0.399631739,0.048459128,0.158673428,-0.55
2.871068716,2.214770794,2.47012949,3.240810633,2.43875742,2.27204299,2.137299538,2.474096775,2.972227573,2.505489111,2.507181406,2.764432907,2.489792943,0.315323416,1.18
0.570104599,0.864339232,0.859660208,0.730329871,0.756471992,0.822781563,0.660363317,0.952736139,0.390730739,0.87165767,0.733021259,1.009437919,0.789626777,0.16332861,-0.48
0.851338923,0.579277813,0.739505649,0.659375906,0.809939981,0.446651042,0.505369723,0.801429987,0.728721261,0.93010366,0.763182998,0.268502831,0.734113455,0.183509689,1.4
1.375123739,1.188637972,1.13612771,1.23223877,1.269580722,1.228165865,1.192994952,1.37471211,1.387617111,1.293234229,1.15476644,1.382180095,1.250909746,0.089497385,1.03
0.506418347,0.540831447,0.766508818,0.751892328,0.715598047,0.629272401,0.73282373,0.694872737,0.798140168,0.574818552,0.565440655,0.970054448,0.705235392,0.126145412,0.11
