Hidden_Layers	Activation	Dropout	Nodes	Batch_Size	Best Epoch per fold	Pearson_Coefficient_train	Pearson_Coefficient_val
3	LeakyReLU	0	12	32	[162.  58. 161. 124.  63.]	0.6967643800525258	0.6149885220660459
3	LeakyReLU	0	16	32	[ 81. 141.  93.  83. 164.]	0.7208777031273776	0.6185328972947671
3	LeakyReLU	0	20	32	[ 57.  10. 119. 141.  69.]	0.7360389978590326	0.6166695008207242
3	LeakyReLU	0	24	32	[105.  49.  49.  47.  70.]	0.7479895401106529	0.6116301443404418
3	LeakyReLU	0.1	12	32	[139. 122. 136.  55.  77.]	0.6591532583667286	0.6153325354144168
3	LeakyReLU	0.1	16	32	[130. 138. 111. 126. 156.]	0.6714520139331285	0.6247154208324995
3	LeakyReLU	0.1	20	32	[160.  71. 110. 142.  48.]	0.6852077350186994	0.6261302710403892
3	LeakyReLU	0.1	24	32	[159. 142. 142. 154. 139.]	0.6910530113461197	0.6308197109745046
3	LeakyReLU	0.2	12	32	[112.  86.  57.  82. 117.]	0.6384907509213238	0.6015197152192391
3	LeakyReLU	0.2	16	32	[ 63. 158.  78.  82. 145.]	0.6506827877391403	0.6157160726619998
3	LeakyReLU	0.2	20	32	[148.  53.  69. 158. 150.]	0.6584469512855397	0.6185176813875958
3	LeakyReLU	0.2	24	32	[130. 171. 154. 107. 160.]	0.6633686636763314	0.6186927580943927
