Hidden_Layers	Activation	Dropout	Nodes	Batch_Size	Best Epoch per fold	Pearson_Coefficient_train	Pearson_Coefficient_val
3	LeakyReLU	0	12	32	[151.  46. 158. 135.  99.]	0.7730518819865477	0.6772718817611354
3	LeakyReLU	0	16	32	[148. 184. 186. 111. 146.]	0.8005850619927851	0.6901237420702346
3	LeakyReLU	0	20	32	[152. 152. 150. 157. 159.]	0.810814627830845	0.6952779796556576
3	LeakyReLU	0	24	32	[166. 183. 141. 153. 125.]	0.8303883690144144	0.7198531316691736
3	LeakyReLU	0.1	12	32	[164.  77. 129. 190. 159.]	0.7140595631872675	0.667636022816107
3	LeakyReLU	0.1	16	32	[ 74. 149. 149. 128. 130.]	0.7317692287274526	0.6740404549359998
3	LeakyReLU	0.1	20	32	[ 69. 102. 150. 158. 163.]	0.7429921990441367	0.6821301046101468
3	LeakyReLU	0.1	24	32	[162. 157. 144. 178.  51.]	0.7575072067781933	0.692866158191861
3	LeakyReLU	0.2	12	32	[116. 135.  24. 138.  74.]	0.6871108432377171	0.6534644215393597
3	LeakyReLU	0.2	16	32	[170. 102. 155. 175. 122.]	0.7037740381489206	0.6688090721650463
3	LeakyReLU	0.2	20	32	[ 99.  36. 123. 114.  73.]	0.7086995392178137	0.6680184837128293
3	LeakyReLU	0.2	24	32	[133. 162. 136. 156.  60.]	0.719716985617863	0.6741940371049672
