Hidden_Layers	Activation	Dropout	Nodes	Batch_Size	Best Epoch per fold	Pearson_Coefficient_train	Pearson_Coefficient_val
3	LeakyReLU	0	12	32	[125. 115. 142.  58. 104.]	0.677008170151467	0.5859287977996512
3	LeakyReLU	0	16	32	[154. 100. 198.  72.  84.]	0.6913886142250709	0.6050258485575826
3	LeakyReLU	0	20	32	[ 27. 106.  80.  70. 156.]	0.7020685256097745	0.5935171625647707
3	LeakyReLU	0	24	32	[ 42. 103. 116.  28. 113.]	0.7213863562695019	0.592848554775698
3	LeakyReLU	0.1	12	32	[131. 157. 136. 191. 144.]	0.6248108704995513	0.5745274557335461
3	LeakyReLU	0.1	16	32	[159. 199.  84. 140. 163.]	0.6414823059943103	0.5953061324333789
3	LeakyReLU	0.1	20	32	[ 64. 126. 145.  87. 150.]	0.6511539727309673	0.5840106560813766
3	LeakyReLU	0.1	24	32	[ 67. 147. 123. 150. 160.]	0.6642354998139798	0.5953563967811504
3	LeakyReLU	0.2	12	32	[158. 152. 148. 152. 149.]	0.5816557482148635	0.5473705164384761
3	LeakyReLU	0.2	16	32	[144. 199.  57. 152. 122.]	0.5995318126362966	0.556420623647083
3	LeakyReLU	0.2	20	32	[162. 145. 143. 111. 168.]	0.6155822839258023	0.5696982175956125
3	LeakyReLU	0.2	24	32	[153. 189. 114. 109. 151.]	0.6268655258373587	0.5819841305319718
