Hidden_Layers	Activation	Dropout	Nodes	Batch_Size	Best Epoch per fold	Pearson_Coefficient_train	Pearson_Coefficient_val
3	LeakyReLU	0	12	32	[138.  31. 163. 147. 132.]	0.7708826338689523	0.6928771534824352
3	LeakyReLU	0	16	32	[134. 132. 162. 193. 145.]	0.7960686886766171	0.6897621799797925
3	LeakyReLU	0	20	32	[ 97. 140. 125. 136. 143.]	0.8128810887941006	0.7066110608876783
3	LeakyReLU	0	24	32	[138. 159. 161. 106.  71.]	0.8271422329216915	0.7114274605082382
3	LeakyReLU	0.1	12	32	[194. 141.  90. 176. 134.]	0.7154892581735344	0.6687896348365937
3	LeakyReLU	0.1	16	32	[199.  29.  73. 137. 131.]	0.722032387202666	0.6711743009435329
3	LeakyReLU	0.1	20	32	[150. 147. 196. 159.  81.]	0.7395475537554234	0.6780620241216107
3	LeakyReLU	0.1	24	32	[148. 121. 148. 147. 144.]	0.7550392336268152	0.6883657923050188
3	LeakyReLU	0.2	12	32	[160.  87. 130.  58.  79.]	0.6886491979287299	0.6498571321725957
3	LeakyReLU	0.2	16	32	[142.  78. 109. 158. 157.]	0.6999721291924466	0.6591582850897677
3	LeakyReLU	0.2	20	32	[111.  81. 143. 145.  63.]	0.7102583290265359	0.6691050876795306
3	LeakyReLU	0.2	24	32	[138.  36. 144. 157.  46.]	0.7139256921593309	0.6633831397819899
