Hidden_Layers	Activation	Dropout	Nodes	Batch_Size	Best Epoch per fold	Pearson_Coefficient_train	Pearson_Coefficient_val
3	LeakyReLU	0	12	32	[152. 156. 190. 151. 154.]	0.7828128041923648	0.6917004682100363
3	LeakyReLU	0	16	32	[121. 152. 163. 154. 160.]	0.8037073948392948	0.7024665119288236
3	LeakyReLU	0	20	32	[111. 155. 113. 112. 153.]	0.8251611766397651	0.7118620476386689
3	LeakyReLU	0	24	32	[178. 198. 199. 162. 138.]	0.8356273368991063	0.7163200732213725
3	LeakyReLU	0.1	12	32	[163. 159. 162. 123.  67.]	0.7169412820829902	0.6727091006626671
3	LeakyReLU	0.1	16	32	[127. 152. 130. 162. 156.]	0.7326364312086125	0.6785862743117591
3	LeakyReLU	0.1	20	32	[155. 158. 152. 134. 131.]	0.7469465530966528	0.6809156241385667
3	LeakyReLU	0.1	24	32	[161. 193. 163. 171.  77.]	0.7616570521001835	0.6946709700838631
3	LeakyReLU	0.2	12	32	[195. 143. 143. 160. 117.]	0.6896550055020761	0.6622756469639041
3	LeakyReLU	0.2	16	32	[154. 159. 159. 101. 159.]	0.7057029790559699	0.6663335520906178
3	LeakyReLU	0.2	20	32	[ 96. 159. 144. 149. 141.]	0.7124997375429521	0.6650227275064419
3	LeakyReLU	0.2	24	32	[159. 119. 114. 159. 145.]	0.7219601390738954	0.6714129263292588
