Hidden_Layers	Activation	Dropout	Nodes	Batch_Size	Best Epoch per fold	Pearson_Coefficient_train	Pearson_Coefficient_val
3	LeakyReLU	0	12	32	[77. 78. 46. 91. 86.]	0.6984742617331363	0.5925412191109026
3	LeakyReLU	0	16	32	[ 54. 111. 119.  25.  33.]	0.7157637534523174	0.5952314573242391
3	LeakyReLU	0	20	32	[142.  93. 138.  22. 114.]	0.7403288186220385	0.5991353579756188
3	LeakyReLU	0	24	32	[ 72.  41. 136.  43. 171.]	0.7580711014924538	0.6080796475576462
3	LeakyReLU	0.1	12	32	[146. 112.  81.  51. 117.]	0.6360086048709216	0.5705217806337447
3	LeakyReLU	0.1	16	32	[135. 161. 121. 162.  34.]	0.6547651026240476	0.5853129274746831
3	LeakyReLU	0.1	20	32	[118. 152.  73.  56. 162.]	0.6718066971366836	0.6000810124881129
3	LeakyReLU	0.1	24	32	[163. 131. 172. 102. 147.]	0.6826108741707319	0.5994904772345307
3	LeakyReLU	0.2	12	32	[160. 130.  76. 106. 146.]	0.5985827902130388	0.5469311354061442
3	LeakyReLU	0.2	16	32	[123. 157.  75. 137. 199.]	0.6165590476489018	0.5687549396877098
3	LeakyReLU	0.2	20	32	[155. 139. 141.  77. 159.]	0.6253934951827459	0.5727844308982581
3	LeakyReLU	0.2	24	32	[154. 162.  64. 141. 126.]	0.6457835424688853	0.58387811299293
